,activity_rate,mean_norm_activation,cv,top_smiles
15,0.0057,0.41522428,0.7657486200332642,"['CCOc1ccc(Br)cc1S(N)(=O)=O', 'CC1CCCCN1C(=O)NCCc1ccc(S(N)(=O)=O)cc1', 'CCc1ccc(NC(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1', 'COc1ccccc1SCCOc1ccc(S(N)(=O)=O)cc1', 'CC(NC(=O)Nc1ccc(S(N)(=O)=O)cc1)c1cccnc1', 'Cc1cnc(C(=O)NC(C)c2ccc(S(N)(=O)=O)cc2)cn1', 'CC(Cn1cccn1)NC(=O)CCc1ccc(S(N)(=O)=O)cc1', 'Cc1cc(Oc2ccccc2Cl)ccc1S(N)(=O)=O', 'CCCNC(=O)Nc1ccc(S(N)(=O)=O)cc1', 'CC(c1cccc(S(N)(=O)=O)c1)N(C)c1ncnc2c1cnn2C']"
16,0.0023,0.42712957,0.6812818050384521,"['CC(C)(C#N)C(=O)NCCOc1ccc2c(c1)CCC2', 'CCCCC(NC(N)=O)C(=O)N1CCCC1c1cnn(C)c1', 'CC(C)(C#N)C(=O)NC1CCN(c2cccc(F)c2)CC1', 'Cc1ccc(C(N)C(=O)NCc2cccc(C)c2)cc1', 'CCCC(C#N)C(=O)N1CCN(C2CCCC2)CC1', 'CC(C)C(C#N)C(=O)Nc1ccc2ncccc2c1', 'Cc1cccc(C(N)C(=O)NCc2ccc[nH]2)c1F', 'COc1ccc(CC(C#N)C(=O)N2CCCC2)c(OC)c1', 'CN(CCC#N)C(=O)Nc1cnn(-c2ccccc2F)c1', 'CCC(NC(N)=O)C(=O)Nc1ccc2ccccc2n1']"
17,0.0002,0.5,0.0,"['O=S1(=O)c2ccccc2-c2cc3cc(F)c(F)cc3cc21', 'O=S1(=O)c2ccc(O)cc2CC1c1ccccc1']"
18,1e-04,1.0,0.0,['CCCCOC(=O)C1=C(C)NC2(O)c3ccccc3C(=O)C12O']
19,0.1038,0.39261773,0.5156997442245483,"['COC(=O)c1cc(C)ccc1NCC1CCC=CO1', 'CCN(CC)C(=O)NCc1ccc2c(c1)OCO2', 'Cc1ccc(CC(=O)NC2(C#N)CCC3(CC2)OCCO3)s1', 'CC12CCC(C(=O)Nc3ccc4c(c3)OCO4)(CC1O)C2(C)C', 'COC(=O)c1ccc(-c2ccc3c(c2)OCO3)nc1C', 'COc1cc2nc(C)c(C)c(Cl)c2cc1OC', 'CC1COCCN1CC1=Cc2cc(Cl)ccc2OC1', 'O=C(c1cc2c(s1)CCC2)N1CCC2(CC1)OCCO2', 'CC(C)n1c(-c2ccc(F)cc2)ccc(CO)c1=O', 'O=c1c2cnc3ccnn3c2ccn1CCC1=CCCCC1']"
20,0.0046,0.29743648,0.7709978222846985,"['COCCC(=O)c1cc(Cl)c(OC)cc1OC', 'CCCOC(=O)c1ccc(OC(C)C)c(OC)c1', 'C=CCc1cc(C(=O)N(C(C)C)C2CCC2)cc(OC)c1OC', 'CC=Cc1cc(C(=O)Nc2nccs2)cc(OC)c1OC', 'CCC(C#N)(CC)Cc1cc(OC)c(OC)c(OC)c1', 'CCOC(=O)CC(c1oc(CO)cc(=O)c1O)C(C)C', 'CCC(C)N(C)C(=O)c1cc(Cl)c(OCC(N)=O)c(OC)c1', 'CCC1CCCCN1C(=O)COc1ccc(C(C)=O)cc1OC', 'CCCOC(=O)c1sc2nc(COC)nc(OC)c2c1C', 'CCNC(=O)Cc1cc(OCC)c(OCC)cc1Br']"
21,1e-04,1.0,0.0,['COCC(=O)NC1CCC2(C)CCC3C(C)C(=O)OC3C2C1C']
22,1e-04,0.0,0.0,[]
23,1e-04,0.0,0.0,[]
24,0.0218,0.31339377,0.5753344893455505,"['CC(C)c1nnsc1CNC(=O)c1cc(-c2cccs2)nn1C', 'Cc1ccc(C(=O)C(C)Sc2nc(-c3cccnc3)n[nH]2)cc1', 'O=C(C1CCCC1)N1CCNCC1c1nc(-c2ccccc2)no1', 'CCCOC1CCCN(C(=O)Nc2cc(-c3ccccc3)nn2C)C1', 'CC(C)S(=O)(=O)N1CCN(c2cc(-c3ccccc3)ncn2)CC1', 'Cc1ccc(C(C)NC(=O)c2cc(-c3ccco3)[nH]n2)o1', 'CC(=O)Nc1cccc(NC(=O)c2cc(-c3cccnc3)on2)c1C', 'CCOc1c(Cl)cccc1NC(=O)c1c(C)noc1C', 'Cc1cnn(CC2CCCN2C(=O)c2cc(-c3ccccc3)on2)c1', 'C#Cc1cccc(NC(=O)CN(C)C(=O)c2cn3c(C)cccc3n2)c1']"
